종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"481850","신한글로벌액티브리츠","KOSPI","기타금융","1450","0","0.00","63042612800"
"404990","신한서부티엔디리츠","KOSPI","부동산","3700","50","1.37","208146215800"
"293940","신한알파리츠","KOSPI","부동산","5650","60","1.07","683311694950"
"055550","신한지주","KOSPI","기타금융","69800","-1300","-1.83","34609776137000"
"004080","신흥","KOSPI","유통","14500","10","0.07","137750000000"
"102280","쌍방울","KOSPI","섬유·의류","2690","0","0.00","70637274900"
"004770","써니전자","KOSPI","전기·전자","1852","27","1.48","67973741168"
"403550","쏘카","KOSPI","일반서비스","13170","90","0.69","432527849340"
"004920","씨아이테크","KOSPI","전기·전자","1289","-21","-1.60","64534807177"
"112610","씨에스윈드","KOSPI","금속","45850","-1250","-2.65","1933558827550"
"480370","씨케이솔루션","KOSPI","건설","11720","110","0.95","128156570920"
"308170","씨티알모빌리티","KOSPI","운송장비·부품","5480","-160","-2.84","47182800000"
"008700","아남전자","KOSPI","전기·전자","1501","-9","-0.60","115764354820"
"090430","아모레퍼시픽","KOSPI","화학","134700","1400","1.05","7878974637300"
"090435","아모레퍼시픽우","KOSPI","화학","43650","250","0.58","460849279500"
"002790","아모레퍼시픽홀딩스","KOSPI","화학","32150","450","1.42","2554580487000"
"00279K","아모레퍼시픽홀딩스3우C","KOSPI","화학","24300","50","0.21","172340460000"
"002795","아모레퍼시픽홀딩스우","KOSPI","화학","13310","420","3.26","85766578700"
"002030","아세아","KOSPI","일반서비스","330500","6500","2.01","688808270000"
"183190","아세아시멘트","KOSPI","비금속","12450","260","2.13","464967286500"
"002310","아세아제지","KOSPI","종이·목재","8640","220","2.61","359704886400"
"012170","아센디오","KOSPI","오락·문화","3045","85","2.87","33110547435"
"267850","아시아나IDT","KOSPI","IT 서비스","12180","110","0.91","135198000000"
"020560","아시아나항공","KOSPI","운송·창고","9810","-110","-1.11","2020768874910"
"122900","아이마켓코리아","KOSPI","유통","8450","90","1.08","282473698000"
"010780","아이에스동서","KOSPI","비금속","22150","850","3.99","668641518400"
"031820","아이티센씨티에스","KOSPI","IT 서비스","667","8","1.21","80741327822"
"139990","아주스틸","KOSPI","금속","4070","10","0.25","157734534980"
"009320","아진전자부품","KOSPI","운송장비·부품","1004","-1","-0.10","49496969080"
"001780","알루코","KOSPI","금속","2370","45","1.94","229487412840"
"018250","애경산업","KOSPI","화학","16500","20","0.12","435763927500"
"161000","애경케미칼","KOSPI","화학","12460","-340","-2.66","606162914140"
"011090","에넥스","KOSPI","기타제조","672","14","2.13","40314382752"
"137310","에스디바이오센서","KOSPI","의료·정밀기기","10290","140","1.38","1252798259580"
"005850","에스엘","KOSPI","운송장비·부품","31850","-250","-0.78","1479385362000"
"010580","에스엠벡셀","KOSPI","운송장비·부품","1701","91","5.65","189239243760"
"012750","에스원","KOSPI","일반서비스","72000","1700","2.42","2735940816000"
